Date, Open, High, Low, Close
05/13/22, 6946.9, 7075.1, 6946.9, 7075.1
05/12/22, 7062.9, 7063.4, 6930.2, 6941.0
05/11/22, 7047.6, 7064.7, 6991.8, 7064.7
05/10/22, 7080.9, 7080.9, 6939.5, 7051.2
05/09/22, 7181.5, 7184.5, 7092.3, 7120.7
05/06/22, 7333.6, 7334.8, 7161.4, 7205.6
05/05/22, 7320.7, 7369.1, 7313.5, 7364.7
05/04/22, 7332.7, 7366.8, 7299.9, 7304.7
05/03/22, 7344.5, 7355.2, 7299.3, 7316.2
05/02/22, 7422.0, 7423.2, 7301.6, 7347.0
04/29/22, 7360.7, 7435.0, 7360.5, 7435.0
04/28/22, 7303.0, 7356.9, 7298.1, 7356.9
04/27/22, 7300.1, 7302.2, 7233.3, 7261.2
04/26/22, 7410.0, 7413.3, 7290.8, 7318.0
04/22/22, 7546.2, 7546.2, 7455.0, 7473.3
04/21/22, 7563.0, 7604.7, 7560.6, 7592.8
04/20/22, 7564.1, 7624.8, 7564.1, 7569.2
04/19/22, 7523.5, 7584.9, 7523.5, 7565.2
04/14/22, 7489.4, 7529.2, 7485.6, 7523.4
04/13/22, 7461.5, 7489.0, 7459.9, 7479.0
04/12/22, 7474.6, 7484.0, 7430.8, 7454.0
04/11/22, 7488.7, 7524.9, 7471.3, 7485.2
04/08/22, 7456.2, 7492.3, 7453.8, 7478.0
04/07/22, 7482.3, 7482.3, 7437.6, 7442.8
04/06/22, 7504.0, 7504.0, 7437.5, 7490.1
04/05/22, 7509.3, 7573.4, 7509.3, 7527.9
04/04/22, 7508.0, 7536.8, 7508.0, 7513.7
04/01/22, 7509.7, 7514.0, 7476.7, 7493.8
03/31/22, 7549.4, 7556.6, 7499.6, 7499.6
03/30/22, 7468.3, 7533.1, 7468.3, 7514.5
03/29/22, 7409.9, 7480.9, 7409.9, 7464.3
03/28/22, 7417.8, 7446.7, 7412.4, 7412.4
03/25/22, 7398.7, 7431.3, 7394.1, 7406.2
03/24/22, 7377.5, 7399.4, 7356.2, 7387.1
03/23/22, 7330.0, 7386.9, 7329.8, 7377.9
03/22/22, 7313.4, 7377.3, 7312.1, 7341.1
03/21/22, 7303.1, 7350.4, 7278.5, 7278.5
03/18/22, 7260.0, 7294.4, 7245.9, 7294.4
03/17/22, 7204.5, 7296.8, 7203.9, 7250.8
03/16/22, 7100.5, 7180.2, 7100.3, 7175.2
03/15/22, 7121.1, 7121.1, 7080.7, 7097.4
03/14/22, 7069.8, 7149.4, 7069.8, 7149.4
03/11/22, 7137.9, 7151.4, 7051.2, 7063.6
03/10/22, 7039.7, 7161.0, 7039.7, 7130.8
03/09/22, 6969.8, 7072.0, 6968.9, 7053.0
03/08/22, 7027.5, 7053.5, 6980.3, 6980.3
03/07/22, 7117.9, 7133.7, 7010.5, 7038.6
03/04/22, 7147.5, 7147.5, 7025.2, 7110.8
03/03/22, 7152.3, 7198.1, 7151.4, 7151.4
03/02/22, 7098.7, 7121.5, 7041.9, 7116.7
03/01/22, 7061.0, 7159.9, 7059.6, 7096.5
02/28/22, 7022.2, 7049.6, 6979.4, 7049.1
02/25/22, 7000.1, 7045.6, 6974.9, 6997.8
02/24/22, 7152.9, 7152.9, 6959.3, 6990.6
02/23/22, 7159.4, 7205.7, 7145.4, 7205.7
02/22/22, 7219.8, 7222.8, 7108.8, 7161.3
02/21/22, 7220.4, 7248.8, 7156.3, 7233.6
02/18/22, 7278.2, 7278.6, 7201.9, 7221.7
02/17/22, 7295.7, 7356.8, 7282.3, 7296.2
02/16/22, 7201.2, 7284.9, 7201.0, 7284.9
02/15/22, 7251.4, 7251.4, 7198.0, 7206.9
02/14/22, 7201.3, 7263.6, 7181.7, 7243.9
02/11/22, 7293.7, 7294.4, 7191.8, 7217.3
02/10/22, 7261.8, 7336.6, 7260.8, 7288.5
02/09/22, 7187.7, 7268.3, 7183.0, 7268.3
02/08/22, 7120.4, 7203.0, 7116.4, 7186.7
02/07/22, 7113.8, 7128.3, 7046.5, 7110.8
02/04/22, 7058.5, 7120.2, 7045.9, 7120.2
02/03/22, 7095.1, 7095.1, 7045.8, 7078.0
02/02/22, 7031.2, 7107.2, 7022.9, 7087.7
02/01/22, 6958.3, 7043.6, 6945.7, 7006.0
01/31/22, 6967.9, 7004.4, 6932.7, 6971.6
01/28/22, 6865.4, 7000.0, 6837.9, 6988.1
01/27/22, 6971.1, 7042.8, 6758.2, 6838.3
01/25/22, 7129.9, 7129.9, 6920.7, 6961.6
01/24/22, 7173.7, 7173.7, 7086.8, 7139.5
01/21/22, 7320.6, 7320.7, 7153.3, 7175.8
01/20/22, 7333.8, 7354.6, 7298.5, 7342.4
01/19/22, 7398.7, 7398.7, 7325.7, 7332.5
01/18/22, 7424.4, 7445.1, 7398.2, 7408.8
01/17/22, 7395.2, 7429.3, 7385.8, 7417.3
01/14/22, 7457.3, 7458.5, 7386.8, 7393.9
01/13/22, 7449.7, 7487.3, 7448.9, 7474.4
01/12/22, 7403.7, 7467.5, 7403.7, 7438.9
01/11/22, 7439.3, 7440.7, 7376.8, 7390.1
01/10/22, 7460.2, 7460.2, 7409.9, 7447.1
01/07/22, 7377.1, 7484.6, 7376.8, 7453.3
01/06/22, 7550.5, 7551.4, 7340.4, 7358.3
01/05/22, 7591.4, 7620.2, 7563.4, 7565.8
01/04/22, 7456.2, 7594.7, 7456.1, 7589.8
12/31/21, 7515.3, 7515.3, 7444.6, 7444.6
12/30/21, 7512.2, 7520.6, 7499.5, 7513.4
12/29/21, 7427.1, 7518.4, 7426.3, 7509.8
12/24/21, 7397.6, 7435.9, 7397.2, 7420.3
12/23/21, 7365.1, 7404.2, 7363.6, 7387.6
12/22/21, 7361.9, 7374.5, 7333.0, 7364.8
12/21/21, 7287.3, 7358.3, 7287.3, 7355.0
12/20/21, 7299.4, 7302.7, 7257.8, 7292.2
12/17/21, 7298.4, 7350.3, 7297.5, 7304.0
12/16/21, 7332.7, 7334.5, 7277.1, 7295.7
12/15/21, 7374.3, 7375.4, 7325.7, 7327.1
12/14/21, 7368.9, 7393.5, 7341.3, 7378.4
12/13/21, 7359.6, 7417.7, 7359.4, 7379.3
12/10/21, 7376.2, 7376.2, 7336.7, 7353.5
12/09/21, 7396.8, 7418.3, 7377.7, 7384.5
12/08/21, 7334.6, 7443.4, 7334.5, 7405.4
12/07/21, 7255.7, 7326.1, 7252.8, 7313.9
12/06/21, 7222.8, 7257.9, 7207.8, 7245.1
12/03/21, 7241.3, 7288.2, 7211.5, 7241.2
12/02/21, 7217.5, 7239.7, 7168.9, 7225.2
12/01/21, 7251.9, 7262.3, 7183.4, 7235.9
11/30/21, 7255.2, 7332.6, 7254.7, 7256.0
11/29/21, 7260.5, 7276.3, 7180.3, 7239.8
11/26/21, 7403.8, 7403.8, 7260.3, 7279.3
11/25/21, 7406.1, 7412.7, 7373.7, 7407.3
11/24/21, 7417.6, 7425.0, 7381.8, 7399.4
11/23/21, 7358.8, 7416.6, 7358.8, 7410.6
11/22/21, 7393.5, 7393.6, 7337.0, 7353.1
11/19/21, 7376.0, 7404.9, 7376.0, 7396.5
11/18/21, 7368.7, 7398.2, 7343.8, 7379.2
11/17/21, 7418.7, 7431.1, 7342.9, 7369.9
11/16/21, 7458.7, 7459.9, 7403.5, 7420.4
11/15/21, 7439.4, 7479.1, 7437.9, 7470.1
11/12/21, 7394.8, 7465.8, 7394.0, 7443.0
11/11/21, 7420.6, 7423.8, 7329.5, 7381.9
11/10/21, 7429.8, 7460.5, 7411.9, 7423.9
11/09/21, 7459.0, 7468.6, 7434.2, 7434.2
11/08/21, 7453.1, 7474.3, 7433.4, 7452.2
11/05/21, 7425.9, 7477.2, 7424.4, 7456.9
11/04/21, 7401.7, 7428.0, 7398.4, 7428.0
11/03/21, 7338.5, 7431.6, 7336.9, 7392.7
11/02/21, 7371.5, 7395.9, 7311.6, 7324.3
11/01/21, 7332.5, 7388.3, 7325.6, 7370.8
10/29/21, 7437.9, 7447.0, 7318.8, 7323.7
10/28/21, 7440.4, 7444.6, 7404.6, 7430.4
10/27/21, 7440.6, 7473.9, 7419.7, 7448.7
10/26/21, 7449.3, 7471.3, 7439.2, 7443.4
10/25/21, 7418.9, 7471.7, 7415.8, 7441.0
10/22/21, 7407.0, 7431.4, 7391.3, 7415.5
10/21/21, 7426.3, 7446.7, 7403.7, 7415.4
10/20/21, 7387.9, 7449.5, 7387.3, 7413.7
10/19/21, 7382.1, 7406.9, 7373.8, 7374.9
10/18/21, 7366.7, 7393.8, 7354.1, 7381.1
10/15/21, 7329.5, 7373.2, 7324.8, 7362.0
10/14/21, 7281.1, 7358.6, 7281.1, 7311.7
